ord	taccion	slug	feaccion	nivel_ejecucion	estado_alta	contraparte	description	Requirente	Monto	objetivo	planprod	lineaaccion	area
265	patrimonioedilicio	Recuperación Edilicia del MUSEO HISTORICO DEL NORTE-Trabajos en medianera	01/01/2015	enpreparacion	activo		Recuperación Edilicia del MUSEO HISTORICO DEL NORTE  Trabajos en medianera 		100000.0			2 Área de Patrimonio Edilicio 	DNIC
266	patrimonioedilicio	Recuperación Edilicia del MUSEO HISTORICO NACIONAL -Adecuación de Instalación eléctrica-Etapa 1	01/01/2015	enpreparacion	activo		Recuperación Edilicia del MUSEO HISTORICO NACIONAL  Adecuación de la instalación eléctrica, sistema de iluminación Etapa 1 		1800000.0			2 Área de Patrimonio Edilicio 	DNIC
267	patrimonioedilicio	Recuperación Edilicia del MUSEO HISTORICO NACIONAL -Adecuación de la instalación eléctrica	01/01/2015	enpreparacion	activo		Recuperación Edilicia del MUSEO HISTORICO NACIONAL  Adecuación de la instalación eléctrica, sistema de iluminación Etapa 2 		1400000.0			2 Área de Patrimonio Edilicio 	DNIC
268	patrimonioedilicio	Recuperación Edilicia del MUSEO HISTORICO NACIONAL -Puesta en valor de espacios interiores, plafones y cielorrasos	01/01/2015	enpreparacion	activo		Recuperación Edilicia del MUSEO HISTORICO NACIONAL  Puesta en valor de espacios interiores, plafones y cielorrasos 		800000.0			2 Área de Patrimonio Edilicio 	DNIC
269	patrimonioedilicio	Recuperación Edilicia del MUSEO HISTORICO NACIONAL - Reparación y adecuación de cubiertas y cielorrasos Galería	01/01/2015	enpreparacion	activo		Recuperación Edilicia del MUSEO HISTORICO NACIONAL  Reparación y adecuación de cubiertas y cielorrasos Galería, verificación  de instalación de desagües pluviales e instalacióneléctrica. Reparación y puesta en Valor de los Copones 		350000.0			2 Área de Patrimonio Edilicio 	DNIC
270	patrimonioedilicio	Recuperación Edilicia del MUSEO HISTORICO NACIONAL - Reparación y adecuación de cubiertas y de instalación de desagües pluviales	01/01/2015	enpreparacion	activo		Recuperación Edilicia del MUSEO HISTORICO NACIONAL  Reparación y adecuación de cubiertas y de la instalación de desagües pluviales        		1662691.0			2 Área de Patrimonio Edilicio 	DNIC
271	patrimonioedilicio	Recuperación edilicia MUSEO HISTORICO DEL CABILDO-Nuevos Baños y oficina de seguridad	01/01/2015	enpreparacion	activo		Puesta en valor, recuperacion edilia y nuevas obras en el MUSEO HISTORICO DEL CABILDO Y DE LA REVOLUCION DE MAYO Nuevos baños y oficina de seguridad en patio      		1182395.0			2 Área de Patrimonio Edilicio 	DNIC
272	patrimonioedilicio	Recuperación Sede MC Alsina-Restauración estucos Hall	01/01/2015	enpreparacion	activo		Recuperación de la sede del Ministerio de Cultura - EDIFICIO ALSINA 1169 Restauración de estucos Hall                                                                     		53324.0			2 Área de Patrimonio Edilicio 	DNIC
25	banda	Banda Sinfónica de Ciegos	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		1000000.0			2 Banda Sinfónica de Ciegos 	DNA
102	fomentointl	Exporta Cultura	01/01/2015	enpreparacion	activo	Aduana y Correo Argentino	Articulación con Aduana y Correo Argentino para configurar un programa orientado a brindar servicios a emprendedores, micro y pequeñas empresas del sector cultural a fin de que puedan acceder a mercados internacionales.		50000.0			2 Fomento Internacional 	SGC
111	fomentointl	Fomento de Importaciones y Exportaciones Temporarias	01/01/2015	enpreparacion	activo		Acciones tendientes a operativizar los acuerdos internacionales en términos de comercialización de bienes y servicios culturales a nivel regional.		50000.0			2 Fomento Internacional 	SGC
287	fomentointl	Tratamiento de visas culturales 	01/01/2015	enpreparacion	activo		Trámite de exención de visados para trabajadores de la cultura y el arte a nivel regional.		50000.0			2 Fomento Internacional 	SGC
213	encuentroregional	Promoción del Tango	01/01/2015	enpreparacion	activo		Encuentros regionales de cantores y bailarines llegados a las ciudades cabecera para recibir una capacitación intensiva a cargo de músicos, bailarines y docentes de prestigio convocados a tal efecto. La actividad concluye con un gran encuentro nacional.		1500000.0			20 Promoción del Tango 	DNA
178	fortalecimiento	Música contemporánea	01/01/2015	enpreparacion	activo		Producción de conciertos y óperas de los siglos XX y XXI. Incluye la convocatoria a compositores, cantantes y músicos para su realización. La actividad se desarrolla centralmente en el Centro Nacional de la Música aunque existe la intención de darle un crecimiento abriéndolo a salas de mayor convocatoria.		1100000.0			21 Música contemporánea 	DNA
199	ciclos	Plan Federal de Ópera y Danza	01/01/2015	enpreparacion	activo		Coproducciones de espectáculos de ópera y ballet, en muchos casos con un formato camarístico. Se realiza a través de convenios con provincias, teatros regionales o municipalidades que permiten un mejor aprovechamiento de los recursos. La Dirección Nacional de Artes aporta la conducción artística, la puesta y el sostén económico de los artistas participantes.		1100000.0			22 Plan Federal de Ópera y Danza 	DNA
79	legislacioncultural	Derecho a la música y arte en las cárceles	01/01/2015	enpreparacion	activo		Talleres de música y canto para presos de diferentes unidades penales y para pacientes de institutos de atención psiquiátrica. Participan docentes contratados a tal efecto. Eventualmente, se realizan actividades especiales con la presencia de artistas contratados o con integrantes de los cuerpos estables de la DNA.		700000.0			23 Derecho a la música y arte en las cárceles 	DNA
198	coro	Plan coral nacional	01/01/2015	enpreparacion	activo		Desarrollo de la actividad coral amateur. Se manifiesta a través de conciertos, encuentros y talleres de capacitación para cantantes y directores.		530000.0			24 Plan coral nacional 	DNA
179	fortalecimiento	Música en plural	01/01/2015	enpreparacion	activo		Conciertos de música clásica en formato camarístico que se producen en iglesias, clubes y centros culturales de la ciudad de Buenos Aires.		200000.0			25 Música en plural 	DNA
63	fortalecimiento	CIMAP	01/01/2015	enpreparacion	activo		Creadores e intérpretes de la música argentina en piano”. Formación y capacitación en música popular argentina de jóvenes pianistas con formación superior. Producción, divulgación y archivo de versiones originales para piano solo y para ensamble de cámara sobre las formas y ritmos de la música popular de raíz rural y ciudadana.		700000.0			26 CIMAP 	DNA
109	encuentrointl	Festival Guitarras del Mundo	01/01/2015	enpreparacion	activo		Encuentro de la guitarra a nivel mundial organizado por el Ministerio de Cultura y por la Unión del Personal Civil de la Nación (UPCN), bajo la dirección artística de Juan Falú. Se realiza durante doce 12 días a lo largo y a lo ancho de todo el país con la participación de más de 300 artistas nacionales e internacionales y la realización de más de 300 conciertos		120000.0			27 Festival Guitarras del Mundo 	DNA
192	orquesta	Orquestas Típicas	01/01/2015	enpreparacion	activo		Encuentro de la guitarra a nivel mundial organizado por el Ministerio de Cultura y por la Unión del Personal Civil de la Nación (UPCN), bajo la dirección artística de Juan Falú. Se realiza durante doce 12 días a lo largo y a lo ancho de todo el país con la participación de más de 300 artistas nacionales e internacionales y la realización de más de 300 conciertos		110000.0			28 Orquestas Típicas 	DNA
87	encuentrointl	El Guitarrazo	01/01/2015	enpreparacion	activo		Actividad dedicada a fortalecer el mayor ensamble de guitarras del país. El mismo se conformó a partir del festival Guitarras del Mundo y, con 20 años de trayectoria reúne a más de 30 guitarristas.		110000.0			29 El Guitarrazo 	DNA
67	fortalecimiento	Compañía Nacional de Danza Contemporánea	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		2500000.0			3 Compañía Nacional de Danza Contemporánea 	DNA
53	ciclos	Ciclo Charangos en Argentina	01/01/2015	enpreparacion	activo		Organizado por la Dirección de Nacional de Artes  y la Asociación Charango Argentina. Se realizan conciertos en el Centro Nacional de la Música con la participación de los principales cultores del instrumento y alumnos de los talleres de los municipios de Morón y Hurlingham.		110000.0			30 Ciclo Charangos en Argentina 	DNA
242	fortalecimiento	Que nadie se quede afuera	01/01/2015	enpreparacion	activo		Activididad didáctica de estímulo en la música. Se realiza en escuelas del Gran Buenos Aires.		200000.0			31 Que nadie se quede afuera 	DNA
180	encuentroregional	Música interior	01/01/2015	enpreparacion	activo		Festival federal de música de raíz folklórica. Encuentros de artistas, clases magistrales, charlas, conciertos en las capitales de provincia de todo el país que concluyen primero en los puntos cabeceras de las cinco regiones de la Argentina y, finalmente, en un encuentro de tres días en la ciudad cabecera a determinar. Involucra a más de 130 artistas que conformarán agrupaciones camarísticas originales y con conformaciones instrumentales diversas.		5000000.0			32 Música interior 	DNA
107	encuentroregional	Festival de la Canción	01/01/2015	enpreparacion	activo		Encuentro nacional con “la canción” como eje a lo largo de una semana. Atraviesa géneros, estilos, repertorios y artistas. Habrá una actividad central en una ciudad capital, conciertos en otros puntos del país y un concurso de nuevas canciones seleccionadas por un jurado de notables (músicos, cantantes, periodistas, etc.)		1500000.0			33 Festival de la Canción 	DNA
106	encuentrointl	Festival de jazz latino	01/01/2015	enpreparacion	activo		Encuentro de 3 o 4 conciertos con la presencia de figuras destacadas de la fusión del jazz con géneros regionales, tanto de Argentina como de Latinoamérica. Las actividades se desarrollarán en una sala importante; eventualmente podría ser Tecnópolis.		2000000.0			34 Festival de jazz latino 	DNA
181	encuentrointl	Músicas del Sur	01/01/2015	enpreparacion	activo		Encuentro de músicos brasileños, argentinos y uruguayos. Tendrá lugar durante una semana en el teatro Caras y Caretas. Participarán, entre otros, Arthur de Faría, Liliana Herrero, Toninho Ferragutti, Martín Buscaglia, Fernando Cabrera, Leo Maslíah, Chancho a Cuerda, Surdomundo Imposible Orquesta, Hugo Fattoruso, etc.		1300000.0			35 Músicas del Sur 	DNA
187	infancia	Ópera para niños	01/01/2015	enpreparacion	activo		Dos producciones dedicadas al público infantil. Los títulos serían “El niño y los sortilegios” de Ravel, en colaboración con la Embajada de Francia, y “Pollicino”. Régie de Marcelo Lombardero. La sala ideal para estas actividades sería “La Ballena” en el C.C. Néstor Kirchner. Fecha estimada: vacaciones de invierno.		4500000.0			36 Ópera para niños 	DNA
190	orquesta	Orquesta San Martín	01/01/2015	enpreparacion	activo		Programa de estímulo a la actividad sinfónica juvenil con la dirección artística de Mario Benzecry. Se desarrolla a través de ensayos, conciertos y participaciones especiales.		200000.0			37 Orquesta San Martín 	DNA
59	fortalecimiento	Ciclo horacio Lavandera con orquestas sinfónicas jueveniles	01/01/2015	enpreparacion	activo		Clínicas, ensayos y conciertos por ciudades del interior por el maestro Horacio Lavandera.		1800000.0			38 Ciclo horacio Lavandera con orquestas sinfónicas jueveniles 	DNA
68	evento	Concierto homenaje a Luis Alberto Spinetta	01/01/2015	enpreparacion	activo		Concierto con la participación de músicos pertenecientes a sus distintas formaciones y cierre A cargo de orquesta sinfónica y reconocidos cantantes con dirección y arreglos del Maestro Carlos Franzetti.		2000000.0			39 Concierto homenaje a Luis Alberto Spinetta 	DNA
11	patrimoniohistorico	Adquisición de equipamiento fotográfico e informático	01/01/2015	enpreparacion	activo		Adquisición de equipamiento fotográfico e informático (PC, scaner, notebook, cámara fotográfica,  etc.) para la identificación y registro de bienes culturales, de dominio público o privado que estén en situación de riesgo de tráfico ilícito.  		350000.0			4 Área de Protección de Bienes Culturales 	DNIC
15	patrimoniohistorico	Asesoramiento juridico-Personal para redacción de normativa de protección de Bs. Culturales	01/01/2015	enpreparacion	activo		Asesoramiento juridico Contratación de profesional para la redacción de normativa de protección de bienes culturales 		250000.0			4 Área de Protección de Bienes Culturales 	DNIC
45	patrimoniohistorico	Capacitación Interinstitucional de contro de frontera sobre patrimonio cultural, reconociomiento de bienes culturales, normas y medidas prácticas y administrativas para la protección de bienes culturales	01/01/2015	enpreparacion	activo		Capacitación interinstitucional Implementación de un programa de capacitación para funcionarios de policía y de contro de frontera sobre patrimonio cultural, reconociomiento de bienes culturales, normas y medidas prácticas y administrativas para la protección de bienes culturales. Esta acción se realizará en distintas reparticiones de Policia Federal, Gendarmería Prefectura Naval y Policía de Seguridad Aeroportuaria en acuerdo con Ministerio de Seguridad. Incluye pasajes viáticos, preparación de material, organización logistica y otros. 		300000.0			4 Área de Protección de Bienes Culturales 	DNIC
47	patrimoniohistorico	Capacitación-Taller Binacional Argentina-Perú	01/01/2015	enpreparacion	activo		Capacitación Taller Binacional Argentina - Perú en la provincia de Jujuy. En cumplimiento del acuerdo ejecutivo bilateral se propone realiazar un taller en la zona de frontera de  Jujuy, lugar de tránsito de bienes exportados ilegalmente de Perú con la participacion de funcionarios aduaneros, policiales, de cultura, de control de fronteras, judiciales y otros, de ambos paises. Incluye traslados nacionales, hoteleria, alimentación, servico de catering, impresiones, material de libreria, viáticos 		300000.0			4 Área de Protección de Bienes Culturales 	DNIC
48	patrimoniohistorico	Capacitación-Talleres sobre prevención y lucha de tráfico ilícito dirigidos al público en gral. 	01/01/2015	enpreparacion	activo		Capacitaciones 6 Talleres sobre prevención y lucha contra el tráfico ilícito de bienes culturales dirigido a los organismos que conformarán el Comité Técnico Provincial de prevención y lucha contra el tráfico ilícito de bienes culturales y 6 jornadas de sensibilización dirigidas al público en general. Se realizarán en las provincias de Entre Ríos, Santa Cruz , Jujuy, Neuquén y Ciudad de Buenos Aires. (Pasajes, viaticos, impresiones, insumos de libreria, servicio de encomienda)  		500000.0			4 Área de Protección de Bienes Culturales 	DNIC
49	patrimoniohistorico	Capacitación Virtual-Prevanción del tráfico ilícito de Bs.Culturales	01/01/2015	enpreparacion	activo		Capacitación virtual Implementación de un programa de capacitación sobre prevencion del tráfico ilícito de bienes culturales en formato virtual. Incluye la producción de material didáctico y de su digitalización y su incorporación en una plataforma digital. Se incluye también la contratación de profesionales para la producción digital  del material y para su incorporación en una plataforma virtual. El programa se propone con un alcance regional de los paises de latinoamerica.   		236000.0			4 Área de Protección de Bienes Culturales 	DNIC
50	patrimoniohistorico	Capadcitación-Taller sobre prevención del tráfico ilícito destinado a funcionarios de cultura,policía,aduana,control de fronteras,jueces,abogados y fiscales	01/01/2015	enpreparacion	activo		Capacitación Taller sobre prevención del tráfico ilícito de bienes culturales destinado a funcionarios de cultura, policía, aduana, control de fronteras, jueces, abogados y fiscales. Actividad que se realizará en conjunto con otros organismos nacionales e internacionales y con cooperación internacional. (Pasajes, hoteleria, alimentación, traslados, servicio de catering, servicio de traductores, impresiones, insumos de libreria)    		450000.0			4 Área de Protección de Bienes Culturales 	DNIC
117	patrimoniohistorico	Fortalecimiento de la posición Argentina en materia de lucha contra el tráfico ilícito de Bienes Culturales-Reuniones internacionales	01/01/2015	enpreparacion	activo		Fortalecimiento de la posición Argentina en materia de lucha contra el tráfico ilícito de Binees Culturales Participación en reuniones internacionales, foros y otros referidos a la adopción de normativa internacional para la prevencón el tráfico ilícito de bienes culturales, en organizaciones como UNESCO, UNASUR , MERCOSUR INTERPOL, etc. (Pasajes, viaticos, material de difusión)  		200000.0			4 Área de Protección de Bienes Culturales 	DNIC
126	patrimoniohistorico	Impresión de desplegable-Información sobre bs.culturales argentinos con mayor riesgo de tráfico ilícito	01/01/2015	enpreparacion	activo		Impresión de desplegable  Desplegable con información de los bienes culturales argentinos con mayor riesgo de tráfico ilícito que funcionaria como herramienta de difusión y de consulta para publico general  (Servicio de impresión) 		400000.0			4 Área de Protección de Bienes Culturales 	DNIC
221	patrimoniohistorico	Publicación bilateral Arg.-Perú-	01/01/2015	enpreparacion	activo		Publicación bilateral Arg. - Perú Material informativo sobre normas de preveción y protección de bienes culturales en Argentina y Perú 		100000.0			4 Área de Protección de Bienes Culturales 	DNIC
273	patrimoniohistorico	Relanzamiento de campaña nacional de sensibilización para la protección de los bs.culturales	01/01/2015	enpreparacion	activo		Relanzamiento de campaña nacional de sensibilización para la protección de los bienes culturles Actualización de la campaña lanzada en el 2006, con actualización de imágenes e información, producción de spot publicitarios, material impreso, afichetas para pasos de frontera. 		1000000.0			4 Área de Protección de Bienes Culturales 	DNIC
74	coro	Coro Nacional de Jóvenes	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		850000.0			4 Coro Nacional de Jóvenes 	DNA
136	becasayudasubsidio	Líneas de Crédito	01/02/2015	enpreparacion	activo		Primer convocatoria a créditos para emprendedores culturales.   Una línea de crédito específica pensada y elaborada para el sector cultural será una herramienta inédita para un sector que se encuentra habitualmente excluido del sector financiero, a la vez que permitirá al Ministerio de Cultura profundizar la línea de trabajo, tendiente a la profesionalización, formalización y regularización del sector. El proyecto contempla: • Desarrollo de una Línea de Crédito Especifica para el Sector Cultural.  • Monto estimado de créditos a otorgar por año: 40 millones de pesos.  • El monto promedio a otorgar por cada préstamo se estima en los $350.000.   • La constitución de un Fondo Específico junto a Garantizar (SGR) para otorgar avales a favor de las micro, pequeñas y medianas empresas que apliquen a los créditos.  • Beneficio complementario: La línea de crédito ofrece una bonificación adicional de la tasa como beneficio directo al emprendedor cultural.  • Lanzamiento en Febrero de 2015. 	Schonfeld, Sebastian	11500000.0			4 Líneas de Crédito 	SGC
110	encuentrointl	Festival Mercosur Cultural	01/01/2015	enpreparacion	activo		Encuentro con la participación de delegaciones Chile, Ecuador, Colombia, Venezuela, Uruguay Paraguay Bolivia Brasil y Argentina. Música, Lutherias, Artesanías y Comidas.		1500000.0			40 Festival Mercosur Cultural 	DNA
88	encuentrointl	Encuentro de payadores del Mercosur	01/01/2015	enpreparacion	activo		Encuentro organizado en colaboración con la Dirección de Cooperación Internacional.		300000.0			41 Encuentro de payadores del Mercosur 	DNA
105	fiestanacional	Festival Binacional del Chamamé	01/01/2015	enpreparacion	activo		A cargo de intérpretes de nuestro litoral y el sur de Brasil.		350000.0			42 Festival Binacional del Chamamé 	DNA
2	evento	50 años del rock Argentino	01/01/2015	enpreparacion	activo		La Biblia - Vox Dei con su formación original más orquesta sinfónica y coros. Homenaje sinfónico a los pioneros del rock argentino, temas emblemáticos del rock Argentino c orquesta sinfónica, arreglos de Gustavo Gregorio y las voces más reconocidas del rock. Presentación del disco.		2300000.0			43 50 años del rock Argentino 	DNA
216	fortalecimiento	Proyecto Federal Escalandrum	01/01/2015	enpreparacion	activo		Obras de Astor Piazzolla junto a orquestas y músicos locales en diferentes lugares del país a través de conciertos talleres y master class (5 giras, aprox. 4 de ciudades).		650000.0			44 Proyecto Federal Escalandrum 	DNA
122	evento	Homanaje a Hugo Fattorusso	01/01/2015	enpreparacion	activo		Con su participación a través de distintas formaciones con invitados notables de Latinoamérica.		400000.0			45 Homanaje a Hugo Fattorusso 	DNA
90	encuentroregional	Encuentro Federal Artistico	01/01/2015	enpreparacion	activo		A realizarse en colaboración con el Congreso de la Nación. Música, artesanías y comidas de cada provincia.		1000000.0			46 Encuentro Federal Artistico 	DNA
217	fortalecimiento	Proyectos especiales con los Organismos Estables	01/01/2015	enpreparacion	activo		A realizarse en el Cultural Néstor Kirchner, Teatro Coliseo, Cervantes o ámbito similar. Acción 1: Festival de Coros: Con la participación del Coro Polifónico Nacional, Polifónico de Ciegos, Coro Nacional de Jóvenes, Coro Nacional de Niños. Acción 2: Compañía Nacional de Danza Contemporánea: Presentación de los ganadores de los concursos Ibermúsica e Iberescena. Representantes de México, Perú y Argentina. Acción 3: Presentación de la obra “Tango” con la Orquesta Filiberto y el Ballet Folklórico Nacional: Coreografía de O Araiz y vestuario de R Schusheim. Acción 4: Ópera Contemporánea. Programa a determinar. Acción 5: Ballet Folklórico Nacional: Tango, Folklore y Folklore latinoamericano. Acción 6: Orquesta Sinfónica Nacional: programación especial vinculada a la música popular. Acción 7: Encuentros de orquestas infantiles y juveniles: Con la participación del CIMAP, dirigido por Hilda Herrera y la orquesta folklórica infantil Andrés Chazarreta.   		4200000.0			47 Proyectos especiales con los Organismos Estables 	DNA
75	coro	Coro Nacional de Niños	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		700000.0			5 Coro Nacional de Niños 	DNA
3	fortalecimiento	5 Guía de Financiamiento Cultural - 2015	01/01/2015	enpreparacion	activo		Relevamiento, edición y publicación de una guía de recursos para la GC disponibles en la órbita del sector público nacional.	Schonfeld, Sebastian	300000.0			5 Herramientas de gestión cultural 	SGC
60	fortalecimiento	Ciclos de Formación y Capacitación	01/01/2015	enpreparacion	activo		Ciclos de formación para emprendedores y espacios culturales.	Schonfeld, Sebastian	150000.0			5 Herramientas de gestión cultural 	SGC
71	fortalecimiento	Convocatoria y entrega de Premios GC	01/01/2015	enpreparacion	activo		Premios a gestores culturales	Schonfeld, Sebastian	180000.0			5 Herramientas de gestión cultural 	SGC
80	fortalecimiento	Desarrollo de Software de gestión	01/01/2015	enpreparacion	activo		Planificación de artes escénicas y Diseño de proyectos culturales	Schonfeld, Sebastian	350000.0			5 Herramientas de gestión cultural 	SGC
93	fortalecimiento	Encuentros, Debates y Reflexiones sobre GC	01/01/2015	enpreparacion	activo		Encuentros de reflexión sobre gestión cultural: infancia, discapacidad y tercera edad; fondos nacionales; espacios culturales; etc.	Schonfeld, Sebastian	200000.0			5 Herramientas de gestión cultural 	SGC
200	fortalecimiento	Planificá. Acciones de capacitación para gestores culturales	01/01/2015	enpreparacion	activo		Ciclo de capacitaciones en gestión y desarrollo de proyectos.	Schonfeld, Sebastian	240000.0			5 Herramientas de gestión cultural 	SGC
20	patrimoniohistorico	Asesoría y rubrica de los planes de emergencia de los museos dependientes de la DNPM	01/01/2015	enpreparacion	activo		Asesoría y rubrica de los planes de emergencia de los museos dependientes de la DNPM.  Contratación de un profesional Lic. en seguridad e higiene para el periodo enero-diciembre 2015, para asesoramiento en la confección  y firma de planes de evacuación de los museos nacionales dependientes de la DNPM.  		192000.0			5 Preparación ante emergencias, catástrofes y sistemas de seguridad 	DNIC
40	patrimoniohistorico	Capacitaciones de Seguridad e Higiene	01/01/2015	enpreparacion	activo		Capacitaciones en Seguridad e higiene.  Jornadas de capacitación en seguridad e higiene para el personal de los museos dependientes de la DNPM. (para cumplimiento de las normas de la SRT).  		62300.0			5 Preparación ante emergencias, catástrofes y sistemas de seguridad 	DNIC
84	patrimoniohistorico	Dotación de Equipos de Protección Personal y mobiliario de seguridad	01/01/2015	enpreparacion	activo		Dotación de Equipos de Protección Personal y mobiliario de seguridad Adquisición de equipos de protección personal (EPP) para cumplimentar las normas de evacuación, planes de emergencia y la seguridad e higiene en las  Adquisición de mobiliario especifico para guarda productos químicos. Según las reglamentaciones de la SEDRONAR.  Instituciones dependientes de la DNPM 		1867000.0			5 Preparación ante emergencias, catástrofes y sistemas de seguridad 	DNIC
276	patrimoniohistorico	Relevamiento técnico de las condiciones de seguridad y salud laboral en los Museos Nacionales dependientes de la DNPM	01/01/2015	enpreparacion	activo		Relevamiento técnico de las condiciones de seguridad y salud laboral en los Museos Nacionales dependientes de la DNPM Relevamiento de las condiciones de seguridad y seguridad e higiene en los Museo Nacionales en el interior del pais 		59300.0			5 Preparación ante emergencias, catástrofes y sistemas de seguridad 	DNIC
9	articulacioninstitu	Acuerdo con el CC Haroldo Conti	01/01/2015	enpreparacion	activo		Acuerdo de colaboración con el CC Haroldo Conti.  La SGC transfiere recursos para cubrir gastos de producción de las muestras del CCHC, honorarios, gastos de logística y traslados de los artístas que participan de las muestras. 		326720.0			6 Acuerdos con otras instituciones y espacios culturales 	SGC
10	articulacioninstitu	Acuerdo con el Fondo Nacional de las Artes	01/01/2015	enpreparacion	activo		Acuerdo de colaboración con el Fondo Nacional de las Artes.  La SGC destina recursos para programas de capacitación y gastos de logística de capacitadores del FNA. 	Schonfeld, Sebastian	459000.0			6 Acuerdos con otras instituciones y espacios culturales 	SGC
77	coro	Coro Polifónico Nacional	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		2000000.0			6 Coro Polifónico Nacional 	DNA
82	patrimoniohistorico	Difusión y Promoción del patrimonio arquitectónico nacional	01/01/2015	enpreparacion	activo		Difusión y Promoción del patrimonio arquitectónico nacional Investigación, registro e identificación  de bienes inmuebles que integran el Patrimonio Arquitectónico Nacional, a cargo del CEPAN ( incluye contratos de especialistas, diseñadores, fotógrafops,  pasajes y viaticos, adquisición de insumos de librería, adquisición de equipamiento tecnolócio e informático) 		1500000.0			6 Difusión del Patrimonio 	DNIC
223	patrimoniohistorico	Publicaciones-Patrimonio Arquitectónico Arg. Tomos  3 y 4	01/01/2015	enpreparacion	activo		Publicaciones  Impresión de los tomos 3 y 4 del libro Patrimonio Arquitectónico Argentino (realizados por el CEPAN) 		1116500.0			6 Difusión del Patrimonio 	DNIC
76	coro	Coro Polifónico de Ciegos	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		800000.0			7 Coro Polifónico de Ciegos 	DNA
14	artesvisuales	Arte UNASUR	01/01/2015	enpreparacion	activo		Arte UNASUR Implementación de acciones y proyecto del eje Artes de UNASUR. Participacion en el segundo encuentro 		500000.0			7 Difusión de las Artes Visuales 	DNIC
23	artesvisuales	Ayudas y coproducciones	01/01/2015	enpreparacion	activo		Ayudas y coproducciones Ayuda económica para la realización de exposiciónes, publicaciones, participación en encuentros, congresos, etc 		900000.0			7 Difusión de las Artes Visuales 	DNIC
64	artesvisuales	Circulación de obras de arte	01/01/2015	enpreparacion	activo		Circulación de obras de arte Se implementará una plataforma web para que los ciudadanos puedan realizar el trámite desde cualquier punto del país 		150000.0			7 Difusión de las Artes Visuales 	DNIC
104	artesvisuales	Ferias Internacionales	01/01/2015	enpreparacion	activo		Ferias Internacionales Se enviarán obras de artistas argentinos seleccionados a ferias de Milán y Bologna 		1000000.0			7 Difusión de las Artes Visuales 	DNIC
202	artesvisuales	Premio MERCOSUR 	01/01/2015	enpreparacion	activo		Premio MERCOSUR  Elección del jurado, diseño de plataforma web, catálogo. Organización y difusión de evento, entrega de los premios 		500000.0			7 Difusión de las Artes Visuales 	DNIC
209	artesvisuales	Programa Editorial de Artes Visuales	01/01/2015	enpreparacion	activo		Programa Editorial de Artes Visuales Diseño editorial, selección de los proyectos, impresión 		900000.0			7 Difusión de las Artes Visuales 	DNIC
189	orquesta	Orquesta Nacional de Música Arg. Juan de Dios Filiberto	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		7000000.0			8 Orquesta Sinfónica Nacional 	DNA
191	orquesta	Orquesta Sinfónica Nacional	01/01/2015	enpreparacion	activo		Conciertos y actividades extraordinarias 		15000000.0			8 Orquesta Sinfónica Nacional 	DNA
132	patrimoniohistorico	Inventarios del PCI	01/01/2015	enpreparacion	activo		Inventarios del PCI Establecer pautas y procedimientos mínimos. Asesorar, fomentar y promover inventarios. Difundir el patrimonio cultural inmaterial de Argentina (adquisicón de pc y elementos informaticos) 		291900.0			8 Salvaguardia del Patrimonio Cultural Inmaterial 	DNIC
183	patrimoniohistorico	Nucleo Focal CRESPIAL	01/01/2015	enpreparacion	activo		Nucleo Focal CRESPIAL Participar de debates y acciones regionales. Fortalecer manifestaciones culturales de comunidades específicas presentes en el país. (pasajes y viaticos, insumos de librería) 		183700.0			8 Salvaguardia del Patrimonio Cultural Inmaterial 	DNIC
184	patrimoniohistorico	Nucleo Focal de la Convención para la Salvaguardia del Patrimonio Cultural Inmaterial Unesco 2003	01/01/2015	enpreparacion	activo		Nucleo Focal de la Convención para la Salvaguardia del Patrimonio Cultural Inmaterial Unesco 2003 Asesorar proyectos, evaluar propuestas, traducir documentos, difundir la Convención, pautar procedimientos y realizar actividades. (pasajes , viaticos, folleteria, impresiones varias, elemntos de librería) impresiones, 		100150.0			8 Salvaguardia del Patrimonio Cultural Inmaterial 	DNIC
274	patrimoniohistorico	Relevamiento de Instituciones	01/01/2015	enpreparacion	activo		Relevamiento de Instituciones Fomentar y promover la conformación de una red nacional de patrimonio cultural inmaterial (resmas, tonners) 		5000.0			8 Salvaguardia del Patrimonio Cultural Inmaterial 	DNIC
284	patrimoniohistorico	Talleres Regionales y Jornadas sobre patrimonio cultural inmaterial	01/01/2015	enpreparacion	activo		Talleres Regionales y Jornadas sobre patrimonio cultural inmaterial Fortalecimiento de capacidades para la salvaguardia del patrimonio cultural inmaterial 		168200.0			8 Salvaguardia del Patrimonio Cultural Inmaterial 	DNIC
