Process INIT
Execution for processFile[PERSONS to go...] 
CB [Casbas]:[Casbas - Guamini - Buenos Aires] [Casbas, Casbas, Buenos Aires]
CB [Herrera Vegas]:[Herrera Vegas - Hipólito Yrigoyen - Buenos Aires] [Herrera Vegas, Herrera Vegas, Buenos Aires]
CB [Agustina]:[Agustina - Junín - Buenos Aires] [Agustina, Agustina, Buenos Aires]
CB [Morse]:[Morse - Junín - Buenos Aires] [Morse, Morse, Buenos Aires]
CB [Santa Teresita - Mar del Tuyu]:[Santa Teresita - Mar del Tuyu - La Costa - Buenos Aires] [Santa Teresita - Mar del Tuyu, Santa Teresita - Mar del Tuyu, Buenos Aires]
CB [Barrio Ruta Sol]:[Barrio Ruta Sol - La Plata - Buenos Aires] [Gran Buenos Aires, Barrio Ruta Sol, Buenos Aires]
CB [El Trigo]:[El Trigo - Las Flores - Buenos Aires] [El Trigo, El Trigo, Buenos Aires]
CB [Fortin Acha]:[Fortin Acha - Leandro N. Alem - Buenos Aires] [Fortin Acha, Fortin Acha, Buenos Aires]
CB [Bayauca]:[Bayauca - Lincoln - Buenos Aires] [Bayauca, Bayauca, Buenos Aires]
CB [Las Toscas]:[Las Toscas - Lincoln - Buenos Aires] [Las Toscas, Las Toscas, Buenos Aires]
CB [Licenciado Matienzo]:[Licenciado Matienzo - Lobería - Buenos Aires] [Licenciado Matienzo, Licenciado Matienzo, Buenos Aires]
CB [Antonio Carboni]:[Antonio Carboni - Lobos - Buenos Aires] [Antonio Carboni, Antonio Carboni, Buenos Aires]
CB [Lomas de Zamora]:[Lomas de Zamora - Lomas de Zamora - Buenos Aires] [Gran Buenos Aires, Lomas de Zamora, Buenos Aires]
CB [Lezica Y Torrezuri]:[Lezica Y Torrezuri - Luján - Buenos Aires] [Lezica Y Torrezuri, Lezica Y Torrezuri, Buenos Aires]
CB [Atalaya]:[Atalaya - Magdalena - Buenos Aires] [Atalaya, Atalaya, Buenos Aires]
CB [Vieytes]:[Vieytes - Magdalena - Buenos Aires] [Vieytes, Vieytes, Buenos Aires]
CB [Coronel Vidal]:[Coronel Vidal - Mar Chiquita - Buenos Aires] [Coronel Vidal, Coronel Vidal, Buenos Aires]
CB [Santa Clara del Mar]:[Santa Clara del Mar - Mar Chiquita - Buenos Aires] [Santa Clara del Mar, Santa Clara del Mar, Buenos Aires]
CB [Mercedes]:[Mercedes - Mercedes - Buenos Aires] [Mercedes, Mercedes, Buenos Aires]
CB [Zenon Videla Dorna]:[Zenon Videla Dorna - Monte - Buenos Aires] [Zenon Videla Dorna, Zenon Videla Dorna, Buenos Aires]
CB [Jose Juan Almeyra]:[Jose Juan Almeyra - Navarro - Buenos Aires] [Jose Juan Almeyra, Jose Juan Almeyra, Buenos Aires]
CB [Costa Bonita]:[Costa Bonita - Necochea - Buenos Aires] [Costa Bonita, Costa Bonita, Buenos Aires]
CB [Alfredo Demarchi]:[Alfredo Demarchi - 9 de Julio - Buenos Aires] [Alfredo Demarchi, Alfredo Demarchi, Buenos Aires]
